%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
23.0, -52.33615997992456, 50.5784070007503, 18.95755287539214, 14.075113483238965, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246394818E9, 0.0, 2022-03-07 14:18:44.639
24.0, -72.06787214614451, 73.10008453391492, -5.497652934864163, 36.12556362198666, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524640124E9, 0.0, 2022-03-07 14:18:44.640
24.0, -23.32949592359364, 30.12115424312651, 10.797091172076762, 7.4667102615348995, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524640124E9, 0.0, 2022-03-07 14:18:44.640
25.0, -27.981931468471885, 29.986517844721675, 23.845602117478848, 3.105986913200468, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524653829E9, 0.0, 2022-03-07 14:18:44.653
25.0, -76.58193139266223, 72.53535964060575, 0.1645555980503559, 29.692935698200017, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524653829E9, 0.0, 2022-03-07 14:18:44.653
26.0, -40.821008016355336, 47.53412843681872, 4.712273944169283, 17.717776040080935, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246858964E9, 0.0, 2022-03-07 14:18:44.685
26.0, -15.617822214961052, 17.973959187045693, 29.3469949522987, -7.160038465168327, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246858964E9, 0.0, 2022-03-07 14:18:44.685
27.0, -65.6240245224908, 65.89329731930047, 1.21172758564353, 25.635144246276468, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246865213E9, 0.0, 2022-03-07 14:18:44.686
27.0, -58.533174206502736, 56.524847930297256, -12.8951750472188, 33.11494415765628, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246865213E9, 0.0, 2022-03-07 14:18:44.686
28.0, -11.586210062727332, 13.833889936096966, 22.787210430018604, -2.0326356259174645, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246873372E9, 0.0, 2022-03-07 14:18:44.687
28.0, -52.897144973278046, 47.246156140230596, 13.807710636407137, 18.30868023307994, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246873372E9, 0.0, 2022-03-07 14:18:44.687
29.0, -71.82477864902467, 74.98499411158264, -5.867903030477464, 32.47542126523331, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246879787E9, 0.0, 2022-03-07 14:18:44.687
29.0, -25.77539049461484, 30.293189641088247, 9.880815682932734, 9.396498638670892, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246879787E9, 0.0, 2022-03-07 14:18:44.687
30.0, -32.48851091507822, 31.4226394277066, 19.73919196613133, 3.580954207573086, -0.6560000311583281, 0.35200001671910286, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246986904E9, 0.0, 2022-03-07 14:18:44.698
30.0, -74.34921111911535, 71.9220160478726, -6.627102721482515, 31.772320073563606, -0.6560000311583281, 0.35200001671910286, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246986904E9, 0.0, 2022-03-07 14:18:44.698
31.0, -39.45968443248421, 43.01258939038962, 4.697314344346523, 18.200223134364933, -0.6560000311583281, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247136788E9, 0.0, 2022-03-07 14:18:44.713
31.0, -13.545917639508843, 14.353736029937863, 31.179545930586755, -4.564547895919532, -0.6560000311583281, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247136788E9, 0.0, 2022-03-07 14:18:44.713
32.0, -68.42520958930254, 63.29406685009599, 6.776698719710112, 26.607518234755844, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247294016E9, 0.0, 2022-03-07 14:18:44.729
32.0, -58.71642930433154, 56.62582522910088, -4.282185449264944, 31.682562474627048, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247294016E9, 0.0, 2022-03-07 14:18:44.729
33.0, -15.617822214961052, 13.426240840926766, 25.958645592443645, -1.7184840296395123, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247302117E9, 0.0, 2022-03-07 14:18:44.730
33.0, -52.45583677850664, 47.238676340319216, 18.11607538536191, 12.912004597019404, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247302117E9, 0.0, 2022-03-07 14:18:44.730
34.0, -69.59953817538917, 68.42146968934685, -4.01665255241096, 33.10372445778921, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247436965E9, 0.0, 2022-03-07 14:18:44.743
34.0, -24.331789111718535, 27.43590607494116, 14.361215829849243, 10.899938420858234, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247436965E9, 0.0, 2022-03-07 14:18:44.743
35.0, -30.13611384294927, 28.56535586155951, 23.36315502319485, 4.901138891931623, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247594209E9, 0.0, 2022-03-07 14:18:44.759
35.0, -75.77037310227752, 68.03999989386648, -2.984440164640546, 39.1100037866272, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247594209E9, 0.0, 2022-03-07 14:18:44.759
36.0, -45.45848396141082, 47.747302734293044, 1.7091342797502875, 20.088872611988336, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247601209E9, 0.0, 2022-03-07 14:18:44.760
36.0, -9.409588288515806, 9.615282786078751, 26.10450169071555, -6.296121575403959, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247601209E9, 0.0, 2022-03-07 14:18:44.760
37.0, -67.82308569643646, 59.322293097153306, 6.552304722368717, 26.611258134711534, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247737672E9, 0.0, 2022-03-07 14:18:44.773
37.0, -62.590965658426285, 65.60532502271235, -4.712273944169283, 34.71188143873587, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247737672E9, 0.0, 2022-03-07 14:18:44.773
38.0, -5.557491334155202, 13.112089244648814, 23.075182726606727, -3.2481031115166843, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524789386E9, 0.0, 2022-03-07 14:18:44.789
38.0, -37.978684050031006, 45.73897645808756, 20.449772957712412, 6.22880337620154, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524789386E9, 0.0, 2022-03-07 14:18:44.789
39.0, -70.63175056315958, 76.01346659939736, -8.156721803359687, 32.72225466230884, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247901025E9, 0.0, 2022-03-07 14:18:44.790
39.0, -23.052743326872587, 30.9401923334226, 14.039584433659911, 9.418938038405031, -0.7200000341981649, 0.41600001975893974, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915247901025E9, 0.0, 2022-03-07 14:18:44.790
40.0, -20.16928046103567, 24.286910312250257, 31.632073825225234, -2.3654867219738662, -0.7200000341981649, 0.41600001975893974, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524803779E9, 0.0, 2022-03-07 14:18:44.803
40.0, -73.21602143254131, 78.35090407170355, -5.508872634731233, 32.66615616297349, -0.7200000341981649, 0.41600001975893974, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524803779E9, 0.0, 2022-03-07 14:18:44.803
41.0, -45.686617858707905, 50.41385140269995, 3.171435162425041, 23.48844167171046, -0.7200000341981649, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524819393E9, 0.0, 2022-03-07 14:18:44.819
41.0, -0.684401691891253, 11.369295865297318, 19.35398227069527, -13.259815292898566, -0.7200000341981649, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524819393E9, 0.0, 2022-03-07 14:18:44.819
42.0, -59.58034619409591, 65.30239312630147, 3.500546358525753, 18.559253530111164, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64669152482011E9, 0.0, 2022-03-07 14:18:44.820
